"full_text","reply_count","retweet_count","favorite_count","url","created_at"
"“Pregúntate si lo que estás haciendo hoy, te llevará a donde quieres llegar mañana”.
Walt Disney
#Fuedicho https://t.co/kBwhPe6Qzg","5","218","854","https://twitter.com/fuedicho/status/1530005889263992836","2022-05-27T02:00:04.000Z"
"""De lo sublime a lo ridículo no hay más que un paso"".
Napoleón Bonaparte
#Fuedicho https://t.co/YnG1wFGdO2","5","310","1603","https://twitter.com/fuedicho/status/1529990803732549646","2022-05-27T01:00:08.000Z"
"""Intenta comprender, no eres un personaje de tragedia"".
Ernest Hemingway
#Fuedicho https://t.co/NUcClrZ7fF","0","69","317","https://twitter.com/fuedicho/status/1529975745845542915","2022-05-27T00:00:18.000Z"
"""Alcanzarás buena reputación esforzándote en ser lo que quieres parecer"".
Socrates
#Fuedicho https://t.co/3bNu9xBDrX","0","128","546","https://twitter.com/fuedicho/status/1529960637572567040","2022-05-26T23:00:15.000Z"
"RT @fuedicho: “Nadie ofrece tanto como el que no va a cumplir"". 
Francisco de Quevedo
#Fuedicho https://t.co/fwK2jtMmlc","0","2228","0","https://twitter.com/fuedicho/status/1529960027183800320","2022-05-26T22:57:50.000Z"
"RT @fuedicho: ""Ni la pobreza obliga a nadie a robar ni la riqueza lo evita"".
Proverbio vikingo
#Fuedicho https://t.co/rrMy0pzBT6","0","2559","0","https://twitter.com/fuedicho/status/1529957746937839617","2022-05-26T22:48:46.000Z"
"RT @fuedicho: ""Sólo entre gente de bien puede existir la amistad, ya que la gente perversa sólo tienen cómplices; la gente interesada tiene…","0","2413","0","https://twitter.com/fuedicho/status/1529952909437329420","2022-05-26T22:29:33.000Z"
"""Lo más difícil de aprender en la vida es qué puente hay que cruzar y qué puente hay que quemar"".
Bertrand Russell
#Fuedicho https://t.co/nG8M8tUltA","7","207","774","https://twitter.com/fuedicho/status/1529950509926342681","2022-05-26T22:20:01.000Z"
"RT @fuedicho: ""En realidad no me preocupa que quieran robar mis ideas, me preocupa que ellos no las tengan"".
Nikola Tesla
#Fuedicho https:/…","0","1716","0","https://twitter.com/fuedicho/status/1529949689780621312","2022-05-26T22:16:45.000Z"
"""El que domina su cólera domina su peor enemigo"".
Confucio
#Fuedicho https://t.co/Np0g2nY4ml","20","1206","5863","https://twitter.com/fuedicho/status/1529945590351769600","2022-05-26T22:00:28.000Z"
"""Si una espina me hiere, me aparto de la espina pero no la aborrezco"".
Amado Nervo
#Fuedicho https://t.co/AXuzIcfZuH","4","116","454","https://twitter.com/fuedicho/status/1529930463040655360","2022-05-26T21:00:21.000Z"
"""El éxito no es definitivo, el fracaso no es fatídico. Lo que cuenta es el valor para continuar"". 
Winston Churchill
#Fuedicho https://t.co/d7Jug36gWZ","12","889","3523","https://twitter.com/fuedicho/status/1529915425848446977","2022-05-26T20:00:36.000Z"
"""No puedes separar la paz de la libertad, porque nadie puede estar en paz, a no ser que tenga su libertad"". 
Malcolm X
#Fuedicho https://t.co/HNmhPDxdVY","0","114","462","https://twitter.com/fuedicho/status/1529900282850820096","2022-05-26T19:00:26.000Z"
"“Todo pasa. Nadie tiene algo para siempre. Así es como tenemos que vivir”.
Haruki Murakami
#Fuedicho https://t.co/uG5YYIexwF","5","307","1236","https://twitter.com/fuedicho/status/1529885258941972480","2022-05-26T18:00:44.000Z"
"""El paraíso lo prefiero por el clima; el infierno por la compañía"".
Mark Twain
#Fuedicho https://t.co/h4A47s6LeO","3","152","703","https://twitter.com/fuedicho/status/1529870111452037121","2022-05-26T17:00:32.000Z"
"""Lo que se obtiene con violencia, solamente se puede mantener con violencia"".
Martin Luther King
#Fuedicho https://t.co/q4VB60G7ap","9","434","1456","https://twitter.com/fuedicho/status/1529855101434744834","2022-05-26T16:00:54.000Z"
"“Los derechos no están sujetos al voto público; una mayoría no tiene derecho a eliminar los derechos de una minoría; la función política de los derechos es precisamente la protección de las minorías frente a la opresión de las mayorías” 
Ayn Rand
#Fuedicho https://t.co/GuzsebOQuH","3","105","267","https://twitter.com/fuedicho/status/1529839903042945024","2022-05-26T15:00:30.000Z"
"""Nada fortalece más a la autoridad que el silencio"".
Leonardo da Vinci
#Fuedicho https://t.co/R8D5FXhvpC","8","466","2177","https://twitter.com/fuedicho/status/1529824866534166528","2022-05-26T14:00:45.000Z"
"""Preserva tu derecho a pensar, más vale que corras el riesgo de equivocarte que cometas el pecado de no pensar”. 
Hipatia de Alejandria
#Fuedicho https://t.co/4FiheyedOG","3","375","1383","https://twitter.com/fuedicho/status/1529809677344710658","2022-05-26T13:00:24.000Z"
"""Todas las cosas están sujetas a interpretación, la interpretación que prevalezca en un momento dado es una función del poder y no de la verdad"". 
Friedrich Nietzsche
#Fuedicho https://t.co/KKqUaBLBE2","3","224","603","https://twitter.com/fuedicho/status/1529794590005411843","2022-05-26T12:00:27.000Z"
"""El nacionalismo es una enfermedad infantil. Es el sarampión de la humanidad"".   
Albert Einstein
#Fuedicho https://t.co/P2kgEZHq6C","2","128","545","https://twitter.com/fuedicho/status/1529779441618018304","2022-05-26T11:00:15.000Z"
