"full_text","reply_count","retweet_count","favorite_count","url","created_at"
"#VIRGO: desconfiado, tienen que ganarse tu respeto y tu confianza. Si te fallan una vez se acaba. Sabes que quien la hace una la hace dos.","1","35","213","https://twitter.com/horoscoponegro/status/1528460029023686662","2022-05-22T19:37:22.000Z"
"La frase de tu vida según tu signo 🔮 https://t.co/8OQhEmY8dD","13","171","1465","https://twitter.com/horoscoponegro/status/1528457983834849282","2022-05-22T19:29:15.000Z"
"De aquello que los signos siempre se esconden 😂🤭🔮

Parte 2 https://t.co/TEEggh5DV2","7","67","431","https://twitter.com/horoscoponegro/status/1528418484031455233","2022-05-22T16:52:17.000Z"
"De aquello que los signos siempre se esconden 😂🤭🔮

Parte 3 https://t.co/tY9rAE6vAf","6","75","339","https://twitter.com/horoscoponegro/status/1528418480558686213","2022-05-22T16:52:17.000Z"
"De aquello que los signos siempre se esconden 😂🤭🔮

Parte 1 https://t.co/VbibLxYtTp","6","115","904","https://twitter.com/horoscoponegro/status/1528418229659525122","2022-05-22T16:51:17.000Z"
"#LIBRA: Cuando te centras en una cosa se te olvidan las demás. Para ti, todo podría siempre haber sido peor.","1","18","157","https://twitter.com/horoscoponegro/status/1528414479951843328","2022-05-22T16:36:23.000Z"
"Los signos cuando lloran 🔮 https://t.co/C62ESxHdMV","14","139","1737","https://twitter.com/horoscoponegro/status/1528381980097798149","2022-05-22T14:27:14.000Z"
"#ESCORPIO: locura, pasión, veneno, amor, gritos, odio. Eres lo prohibido del zodiaco. Lo misterioso. Lo oscuro. Atrapas.","3","51","299","https://twitter.com/horoscoponegro/status/1528098146156429312","2022-05-21T19:39:23.000Z"
"Ranking de los ex más tóxicos del Zodiaco 🔮 https://t.co/yoIPS4dHgT","187","144","2077","https://twitter.com/horoscoponegro/status/1528095594585149440","2022-05-21T19:29:15.000Z"
"Así son los signos, sé como ellos 🔮 Parte 3 https://t.co/a84C1jh7bB","10","267","1667","https://twitter.com/horoscoponegro/status/1528055594573348865","2022-05-21T16:50:18.000Z"
"Así son los signos, sé como ellos 🔮 Parte 2 https://t.co/XyQtFwUmGC","12","251","1766","https://twitter.com/horoscoponegro/status/1528055382526017538","2022-05-21T16:49:27.000Z"
"Así son los signos, sé como ellos 🔮 Parte 1 https://t.co/x9kS5RxuDz","28","380","2738","https://twitter.com/horoscoponegro/status/1528055341510021122","2022-05-21T16:49:17.000Z"
"¿Cómo son los signos y sus besos? 🔮 https://t.co/uRQn5orCaR","29","109","1298","https://twitter.com/horoscoponegro/status/1528019093437263874","2022-05-21T14:25:15.000Z"
"#SAGITARIO: libertad, ganas de vivir, de probar, de experimentar. No te conformas, pruebas hasta encontrarte, hasta encontrar lo que buscas","1","38","181","https://twitter.com/horoscoponegro/status/1528001472742440960","2022-05-21T13:15:14.000Z"
"#CAPRICORNIO: fiel a tus principios, luchador y extremadamente orgulloso. Piensas demasiado y no te gustan las prisas.Las cosas, a su ritmo","4","30","154","https://twitter.com/horoscoponegro/status/1527735260448006150","2022-05-20T19:37:24.000Z"
"Ranking de los signos que abandonan antes 🔮 https://t.co/rxPNtHkw3n","36","74","844","https://twitter.com/horoscoponegro/status/1527732965433819137","2022-05-20T19:28:17.000Z"
"¿Qué electrodoméstico eres según tu signo? 😂🔮 https://t.co/bJjGNZaOA1","25","77","548","https://twitter.com/horoscoponegro/status/1527694966188826624","2022-05-20T16:57:17.000Z"
