"full_text","reply_count","retweet_count","favorite_count","url","created_at"
"""—Y ¿sabes qué pienso? — dijo entonces—. Pues que para las personas los recuerdos son el combustible que les permite continuar viviendo"".
Haruki Murakami https://t.co/u98dcKlgIX","10","357","1590","https://twitter.com/literlandweb1/status/1529527018462892033","2022-05-25T18:17:13.000Z"
"Recuerdos de Lima. https://t.co/jvo5LyAQs0","16","1111","5904","https://twitter.com/literlandweb1/status/1529522215846281217","2022-05-25T17:58:08.000Z"
"""Nunca se olvida, simplemente se aprende a pretender que no se recuerda"".
Francis Scott Fitzgerald
📷Robert Frank https://t.co/PGaqdSjAhA","6","241","1031","https://twitter.com/literlandweb1/status/1529521120365486082","2022-05-25T17:53:46.000Z"
"“Lo más importante en la comunicación es escuchar lo que no se dice”.
Peter Drucker https://t.co/CQpL1QID7z","4","541","2072","https://twitter.com/literlandweb1/status/1529509966968676352","2022-05-25T17:09:27.000Z"
"https://t.co/wpD9vTPVfV","0","65","330","https://twitter.com/literlandweb1/status/1529503999535243266","2022-05-25T16:45:44.000Z"
"""¿Qué hacer con la certeza de que la mirada de otro dice lo mismo que la nuestra, que es posible por un momento amarse con alguien, que es posible salvarse, que la felicidad existe?”
 ""Las malas"", Camila sosa villada https://t.co/IrAinjYn9s","2","141","692","https://twitter.com/literlandweb1/status/1529489647323205644","2022-05-25T15:48:43.000Z"
"""Nadie nos pertenece, salvo en el recuerdo"".
John Updike
🎬""Her"", Spike Jonze (2013) https://t.co/geIW85K9rm","19","1269","6071","https://twitter.com/literlandweb1/status/1529488502089457668","2022-05-25T15:44:10.000Z"
"""Déjame estar triste, es la única forma que conozco de estrujar la felicidad, para que después no me pene.""
Pedro Lemebel 
📷Henri Cartier-Bresson https://t.co/1xaRBSFZtu","1","63","337","https://twitter.com/literlandweb1/status/1529487493715968001","2022-05-25T15:40:09.000Z"
"""La pasión es lo único que te puede  hacer aguantar momentos muy difíciles.""
Ouka Leele
📷Ouka Leele https://t.co/DQ6Ah0iM5x","5","121","605","https://twitter.com/literlandweb1/status/1529469498838896640","2022-05-25T14:28:39.000Z"
"""En este entorno cambiante, hay un deseo de muerte que nos une como hermanos, atrapados en el siniestro fracaso de todo un sistema social, que produce una raza de gladiadores, que están entrenados para tener, poseer y destruir"".
🎬""Pasolini"", Abel Ferrara (2014) https://t.co/pMGudLLnjV","3","60","232","https://twitter.com/literlandweb1/status/1529468345627590656","2022-05-25T14:24:04.000Z"
"Amado Nervo https://t.co/q1ESmCul1M","8","287","1460","https://twitter.com/literlandweb1/status/1529467840985632768","2022-05-25T14:22:04.000Z"
"“Me interesa el arte, así que me da igual la técnica. Al ver una imagen, lo que quiero es que mi alma vuele libre”.
Ouka Leele. 
📷Ouka Leele https://t.co/uAEZzE8059","4","168","737","https://twitter.com/literlandweb1/status/1529424802854871041","2022-05-25T11:31:02.000Z"
"""Miércoles: No hay que tener miedo"". 
""La náusea"", Jean Paul Sartre https://t.co/z1X2G5abMS","6","267","1055","https://twitter.com/literlandweb1/status/1529423919714865154","2022-05-25T11:27:32.000Z"
"""Con sólo eso, vida mía;
con sólo eso:
con mi verso, con tu beso,
lo demás nos sobraría"".

Alfredo Espino https://t.co/2Dwm5vcKDE","10","400","1881","https://twitter.com/literlandweb1/status/1529304156518883328","2022-05-25T03:31:38.000Z"
"""Muy cerca de mi ocaso, yo te bendigo, vida,
porque nunca me diste ni esperanza fallida,
ni trabajos injustos, ni pena inmerecida;
porque veo al final de mi rudo camino
que yo fui el arquitecto de mi propio destino"".

Amado Nervo
📷Izis Bidermanas https://t.co/FsU1wfRYul","5","342","1331","https://twitter.com/literlandweb1/status/1529287345043910657","2022-05-25T02:24:50.000Z"
"""Un hombre libre cuando fracasa, no culpa a nadie mas, sólo a si mismo"".
Josep Brodsky
📷Rodney Smith https://t.co/hkp2F0OXlG","8","513","2376","https://twitter.com/literlandweb1/status/1529253533232545792","2022-05-25T00:10:29.000Z"
"""Te odio con el odio de la ilusión marchita"".
Amado Nervo
📷Stanley Kubrick https://t.co/1M1NB3rqx1","3","109","696","https://twitter.com/literlandweb1/status/1529244860795994113","2022-05-24T23:36:01.000Z"
"""En algún momento de nuestras vidas todos tenemos que decidir si somos o no somos platónicos"".
""Oso"", Marian Engel. 
📷Jacques Henri Lartigue https://t.co/QjBbsg9fLo","5","122","557","https://twitter.com/literlandweb1/status/1529223476607086592","2022-05-24T22:11:03.000Z"
